UserUnit,Date,ProgNo,ProgName,orderNo,DMCRetractor,DMCMGG,No-actpartstotal,0No-actpartsok,1positionturntable,2contactposmm,3planaritymm,4distancemm,fric1Max/MinnU/min,fric2Max/MinnU/min,upset1Max/MinnU/min,8angelposdegree,fric11s_actmm,fric21s_actmm,brakes_actmm,upset11s_actmm,upset2s_actmm,totals_totmm,fric12t_acts,fric22t_acts,brake1t_acts,upset12t_acts,upset21t_acts,brake_n0t_acts,total1t_tots,fric13t_ups,fric23t_ups,upset13t-ups,upset22t_ups,total2L_FPmm,forceclampX1kN,positionclampX1mm,total3NOKBCD-Code,lastcycles,date,typenumber,typename,FWnumber,ST02cleanlaserprogno,ST02cleanlaserokstatus,ST03lasercamprogno,ST03lasercamokstatus,ST04FWokstatus,ST05anglecamprogno,ST05anglecamvalue,ST05anglecamokstatus,overallokstatus
ZapataF,2023-03-11 12:39:27,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690109,34311248A006102212,1692009,21,6,124.497,0.039,-20.544,13987.974,10804.44,-54.369,181.436,0.067,0.15,0.58,0.367,0.149,1.313,0.03,0.1,0.226,0.04,0.25,0.302,0.976,0.006,0.002,0.002,0.024,29.184,22.8,11.459,0,12.812,2023-11-03 11:27:12,45,CIVIC 1st LH DOM SLL3,1692010,1,OK,2,OK,OK,5,181.9 D,OK,OK
ZapataF,2023-03-11 12:39:55,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010F,34311248A006102212,1692010,22,1,124.486,0.034,-20.553,13995.631,10786.561,-0.864,181.38,0.067,0.184,0.677,0.369,0.161,1.457,0.03,0.1,0.222,0.04,0.25,0.298,0.974,0.006,0.002,0.002,0.026,29.029,22.8,11.454,0,62.4,2023-11-03 11:27:32,45,CIVIC 1st LH DOM SLL3,1692011,1,OK,2,OK,OK,5,181.41 ,OK,OK
ZapataF,2023-03-11 12:41:04,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690108,34311248A006102212,1692011,23,2,124.496,0.024,-20.559,13995.365,10798.819,-50.076,181.373,0.066,0.154,0.612,0.368,0.148,1.348,0.03,0.1,0.222,0.04,0.25,0.298,0.972,0.006,0.002,0.002,0.022,29.148,22.7,11.457,0,28.24,2023-11-03 11:28:44,45,CIVIC 1st LH DOM SLL3,1692012,1,OK,2,OK,OK,5,182.39 ,OK,OK
ZapataF,2023-03-11 12:41:23,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*71423100690107,34311248A006102212,1692012,24,3,124.506,0.022,-20.557,13995.409,10784.171,-78.311,181.282,0.071,0.156,0.639,0.371,0.145,1.382,0.03,0.1,0.224,0.04,0.25,0.298,0.972,0.006,0.002,0.002,0.02,29.125,22.8,11.455,0,68.372,2023-11-03 11:28:55,45,CIVIC 1st LH DOM SLL3,1692013,1,OK,2,OK,OK,5,184.1 D,OK,OK
ZapataF,2023-03-11 12:42:35,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010E,34311248A006102212,1692013,25,4,124.526,0.024,-20.546,13990.099,10798.421,-22.417,181.467,0.067,0.159,0.586,0.368,0.161,1.341,0.03,0.1,0.22,0.04,0.25,0.298,0.964,0.008,0.002,0.002,0.026,29.185,22.8,11.448,0,19.452,2023-11-03 11:30:10,45,CIVIC 1st LH DOM SLL3,1692014,1,OK,2,OK,OK,5,183.2 D,OK,OK
ZapataF,2023-03-11 12:42:47,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010J,34311248A006102212,1692014,26,5,124.516,0.021,-20.533,13987.665,10793.951,-31.666,181.367,0.069,0.146,0.552,0.367,0.154,1.288,0.03,0.1,0.218,0.04,0.25,0.294,0.964,0.006,0.002,0.002,0.022,29.228,22.7,11.458,0,72.064,2023-11-03 11:30:23,45,CIVIC 1st LH DOM SLL3,1692015,1,OK,2,OK,OK,5,183.88 ,OK,OK
ZapataF,2023-03-11 12:44:02,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*7142310069010A,34311248A006102212,1692015,27,6,124.487,0.024,-20.55,13990.674,10787.977,-29.542,181.393,0.068,0.165,0.675,0.37,0.146,1.425,0.03,0.1,0.224,0.04,0.25,0.3,0.976,0.006,0.002,0.002,0.02,29.062,22.7,11.456,0,11.536,2023-11-03 11:35:01,45,CIVIC 1st LH DOM SLL3,1692016,1,OK,2,OK,OK,5,181.75 ,OK,OK
ZapataF,2023-03-11 12:44:15,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YS,34311248A006102212,1692016,28,1,124.556,0.015,-20.544,13987.178,10802.802,-35.737,181.27,0.068,0.164,0.602,0.37,0.149,1.352,0.03,0.1,0.218,0.04,0.25,0.292,0.956,0.006,0.002,0.002,0.022,29.204,22.8,11.457,0,75.052,2023-11-03 11:35:18,45,CIVIC 1st LH DOM SLL3,1692017,1,OK,2,OK,OK,5,181.99 ,OK,OK
ZapataF,2023-03-11 12:48:52,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YU,34311248A006102212,1692017,29,2,124.485,0.033,-20.548,13994.48,10792.225,-51.979,181.43,0.067,0.15,0.575,0.368,0.149,1.31,0.03,0.1,0.222,0.04,0.25,0.298,0.974,0.004,0.002,0.002,0.022,29.175,22.7,11.462,0,45.528,2023-11-03 11:36:44,45,CIVIC 1st LH DOM SLL3,1692018,1,OK,2,OK,OK,5,184.49 ,OK,OK
ZapataF,2023-03-11 12:49:09,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YY,34311248A006102212,1692018,30,3,124.506,0.02,-20.559,13992.223,10794.836,-72.646,181.499,0.068,0.155,0.599,0.369,0.151,1.342,0.03,0.1,0.222,0.04,0.25,0.298,0.97,0.006,0.002,0.002,0.022,29.164,22.8,11.455,0,98.644,2023-11-03 11:37:28,45,CIVIC 1st LH DOM SLL3,1692019,1,OK,2,OK,OK,5,183.77 ,OK,OK
